symbol,year,Q1,Q2,Q3,Q4
AEEAX,2014,1.64,N/A,N/A,N/A
AEEAX,2013,0.38,-5.81,-2.68,0.70
AEEAX,2012,0.15,4.27,2.41,N/A
,,,,,
CSABX,2014,1.74,N/A,N/A,N/A
CSABX,2013,0.42,-5.76,-2.58,0.70
CSABX,2012,3.37,0.17,4.41,2.48
CSABX,2011,2.35,2.24,-5.35,2.67
CSABX,2010,5.04,-2.61,9.06,0.87
CSABX,2009,-2.31,12.66,6.96,3.93
CSABX,2008,2.02,-4.59,-4.91,-4.26
CSABX,2007,2.84,1.38,N/A,N/A
,,,,,
ABISX,2014,1.64,N/A,N/A,N/A
ABISX,2013,0.29,-5.74,-2.68,0.62
ABISX,2012,3.35,0.11,4.35,2.41
ABISX,2011,2.34,2.20,-5.42,2.59
ABISX,2010,-2.61,9.16,0.87,N/A
,,,,,
GOPAX,2014,-3.63,N/A,N/A,N/A
GOPAX,2013,0.33,-7.21,5.19,-2.50
GOPAX,2012,12.82,-4.53,0.93,9.30
GOPAX,2011,-2.01,1.48,-18.85,4.95
GOPAX,2010,3.92,-1.82,20.42,4.13
GOPAX,2009,-4.76,42.99,12.54,5.52
GOPAX,2008,-24.33,-1.35,-27.49,-18.97
GOPAX,2007,7.62,25.53,30.90,-1.60
GOPAX,2006,28.28,-3.16,5.23,27.95
GOPAX,2005,-2.08,-0.14,5.13,0.71
GOPAX,2004,8.27,12.58,N/A,N/A
,,,,,
GOPCX,2014,-3.80,N/A,N/A,N/A
GOPCX,2013,0.15,-7.37,4.98,-2.69
GOPCX,2012,12.62,-4.68,0.73,9.13
GOPCX,2011,-2.12,1.28,-19.02,4.74
GOPCX,2010,3.79,-1.94,20.18,3.99
GOPCX,2009,-4.98,42.73,12.33,5.28
GOPCX,2008,-24.47,-1.54,-27.58,-19.16
GOPCX,2007,7.43,25.26,30.71,-1.81
GOPCX,2006,28.11,-3.37,5.06,27.69
GOPCX,2005,-2.25,-0.39,4.97,0.45
GOPCX,2004,7.96,12.50,N/A,N/A
